;name;longitude;latitude
0;Luhtimäki;24.8201851;60.2689544
1;Petikontie;24.815069;60.2796056
2;Martinkyläntie;24.821893;60.2779776
3;Vantaanpuisto;24.8565537;60.3012198
4;Vehkala station;24.8442235;60.2948249
5;Rubiinipuisto;24.8534876;60.3217496
6;Hagelstamintie;24.959207;60.2847013
7;Aurinkokivenpiha;24.8499308;60.3187548
8;Hagelstaminpuisto;24.9660263;60.2811985
9;Kivistö station;24.8495962;60.3155649
10;Tammistontie;24.9703214;60.2762183
11;Mestarintie;24.8507536;60.307614
12;Antaksentie;24.9483596;60.2935188
13;Lincolninaukio;24.8312068;60.3184709
14;Pakkalan puistotie;24.9489907;60.2895658
15;Vetokuja;24.8789874;60.2694491
16;Kartanonkoski sports park;24.9563511;60.2795197
17;Tuupakankuja;24.8914873;60.2963001
18;Ansatie;24.9223106;60.2947865
19;Riistakuja;24.9070643;60.2952683
20;Osumakuja;24.9326708;60.3005094
21;Tahkotie;24.913318;60.30363
22;Tammiston kauppatie;24.9744748;60.2824962
23;Suokalliontie;24.8985;60.3068
24;Väinö Tannerin tie;24.95928;60.2896037
25;Vantaanlaaksontie;24.8724943;60.2831918
26;Myyrmäki ice hall;24.8409657;60.263718
27;Ollaksentie;24.9107005;60.2846073
28;Tikkuraitti;25.0364107;60.2934127
29;Aapraminkaari;24.8671399;60.2579402
30;Myyrmäki station;24.8548099;60.2609664
31;Tikkurila station;25.044587;60.2947747
32;Vuorimestarintori;24.8716415;60.2639194
33;Rälssitie;24.9721365;60.293995
34;Männistönpolku;25.0424261;60.2932159
35;Kaivokselantie;24.8724826;60.268743
36; Jumbo P1-level;24.9643631;60.2902401
37;Rillitori;25.0515797;60.2930266
38;Silvola;24.8815986;60.2651189
39; Jumbo P3-level;24.9623982;60.2909266
40;Gallen-Kallelan tie;24.840699;60.206142
41;Elfvik;24.8231;60.203852
42;Laajalahden keskus;24.80493;60.203892
43;Maalitori;25.0449516;60.2918634
44;Majurinkulma;24.824954;60.210735
45;Liesikuja;24.854638;60.2627728
46;Yhdyskunnankuja;24.819549;60.212508
47;Liljatie;25.0220122;60.2910976
48;Urheilutie;25.0595055;60.2956961
49;Martinlaakso swimming hall;24.8455118;60.2758399
50;Oljenkorsi;25.0625998;60.298773
51;Martinlaakso station;24.8530321;60.2774844
52;Suopursunaukio;25.0418704;60.2994855
53;Malminiitynpuisto;25.0406925;60.3155676
54;Kuohukuja;24.8462619;60.2699185
55;Kurjenpolvenpuisto;25.018708;60.2940257
56;Kauppalaivurintie;24.8663431;60.2903329
57;Louhela station;24.8531798;60.2701588
58;Peltolantori;25.0299499;60.2935647
59;Martinlaaksontie;24.8674029;60.2778249
60;Myyrmäki swimming hall;24.8521254;60.2655499
61;Virnatie;25.0332859;60.2878288
62;Laajavuorentie;24.8483852;60.2817801
63;Kirjurinkuja;24.82643506;60.21669479
64;Upseerinkatu;24.819396;60.216067
65;Komentajankatu;24.821932;60.216222
66;Jokiniemenkatu;25.050165;60.2982375
67;Säteri;24.811572;60.213443
68;Kilterinaukio;24.8526744;60.2571537
69;Malminiitynpolku;25.0351161;60.3132651
70;Tammistonkatu;24.9667526;60.2690918
71;Honkasuo;24.8430601;60.2587643
72;Tarhurinaukio;25.0444984;60.3124746
73;Meripihkatori;24.8479958;60.2624796
74;Hiekkaharju station;25.0493034;60.3047281
75;Heureka;25.0419033;60.2886215
76;Vantaankoski station;24.8491118;60.2852294
77;Talkootori;25.0462299;60.3030604
78;Pyhtäänkorventie;24.9734811;60.2998958
79;Kukinkuja;24.8611776;60.2790946
80;Puutarhatie;25.0064559;60.2921602
81;Hernetie;25.0333627;60.2958319
82;Säterinrinne;24.805613;60.214193
83;Kiskanpuisto;24.8400236;60.279126
84;Nokkala;24.754344;60.147974
85;Säterinniitty;24.800486;60.214666
86;Matinlahdenranta;24.754196;60.151041
87;Rummunlyöjänkatu;24.806279;60.217261
88;Ratsutori;24.812419;60.217311
89;Nuottaniementie;24.741546;60.147921
90;Leppävaaranaukio;24.814828;60.218731
91;Sepetlahdentie;24.741234;60.152343
92;Sauvatie;25.0729534;60.3206875
93;Koivutori;25.0618091;60.3236278
94;Kydönaukio;25.0633814;60.3201329
95;Maitikka-aukio;25.0232892;60.3056515
96;Energia Arena;24.8391748;60.2601674
97;Sananjalanpolku;25.0265759;60.3134573
98;Tikkurila sports park;25.0284272;60.2996103
99;Leppävaarankäytävä;24.813437;60.220254
100;Matinkartanontie;24.752489;60.156258
101;Leinikkitie;25.0307302;60.3105341
102;Hiekkaharju sports park;25.0548444;60.3009186
103;Läkkitori;24.813109;60.221019
104;Matinkyläntie;24.744978;60.155689
105;Mestarinkatu;24.816382;60.222183
106;Tiistiläntie;24.737664;60.156755
107;Muurarinkuja;24.812271;60.223769
108;Tiistinkallio;24.729112;60.153737
109;Postipuun koulu;24.826396;60.223827
110;Etuniementie;24.724835;60.160645
111;Teletie;24.9681387;60.3133866
112;Sairaalakatu;25.0612598;60.3317268
113;Rekola station;25.0674364;60.3330046
114;Leinelä station;25.0375224;60.3232032
115;Gransinmäki;24.804898;60.222154
116;Hauenkalliontie;24.756272;60.161138
117;Koivukylä station;25.0598835;60.3232722
118;Hanasaari;24.840319;60.16582
119;Nelikkotie;24.74663;60.161588
120;Keilalahti;24.827467;60.171524
121;Leppävaaran urheilupuisto;24.800971;60.224943
122;Suomenlahdentie;24.741294;60.160015
123;Westendinasema;24.805758;60.168266
124;Leppävaaran uimahalli;24.804735;60.226379
125;Piispansilta;24.738416;60.162403
126;Golfpolku;24.796136;60.168143
127;Vallikatu;24.813871;60.228463
128;Piispanportti;24.732688;60.165603
129;Revontulentie;24.802938;60.171551
130;Tapaninkyläntie;24.9732547;60.2658549
131;Tasetie;24.9680763;60.2899626
132;Robert Huberin tie;24.9627966;60.2959171
133;Teknobulevardi;24.9659589;60.3046698
134;Vallipolku;24.819614;60.227827
135;Friisilänaukio;24.721367;60.162842
136;Avia-aukio;24.9547822;60.30255
137;Sateentie;24.810688;60.173424
138;Linnuntie;24.813954;60.234401
139;Avaruuskatu;24.724908;60.168971
140;Karhumäenportti;24.9588308;60.3054333
141;Hakalehto;24.79139;60.173567
142;Kutsuntatie;24.824561;60.230453
143;Kuunkatu;24.726025;60.172673
144;Oravannahkatori;24.792559;60.175769
145;Painiitty;24.831397;60.235089
146;Ruomelantie;24.729314;60.174524
147;Länsituuli;24.802049;60.175358
148;Tuulimäki;24.806051;60.174144
149;Itäportti;24.738122;60.174914
150;Tapionaukio;24.805825;60.176168
151;Mäkkylän asema;24.83939;60.220467
152;Komeetankatu;24.735969;60.167216
153;Kulttuuriaukio;24.803942;60.177588
154;Kalkkipellonmäki;24.833536;60.220551
155;Auringonkatu;24.731472;60.171548
156;Ahertajantie;24.797984;60.17875
157;Piispankallio;24.743532;60.168441
158;Mäntyviita;24.810974;60.178702
159;Ruutikatu;24.820635;60.223377
160;Lystimäki;24.745666;60.172814
161;Otsolahti;24.817423;60.178655
162;Lumivaarantie;24.814268;60.204669
163;Lystimäensilta;24.752442;60.17471
164;Keilaniemi (M);24.82895;60.175233
165;Suurpellonaukio;24.744131;60.184596
166;Keilaranta;24.835132;60.178762
167;Betonimies;24.831804;60.180027
168;Lukutori;24.742936;60.187086
169;Tekniikantie;24.824747;60.180806
170;Innopoli;24.81422;60.185096
171;Hagalundinpuisto;24.817403;60.18363
172;Aalto-yliopisto (M) Tietotie;24.820099;60.184987
173;Aalto-yliopisto (M) Korkeakouluaukio;24.826671;60.184312
174;Aurinkotuulenkatu;25.15934635;60.2027734
175;Otaranta;24.837133;60.18483
176;Sumukuja;25.15840938;60.20544673
177;Leikosaarentie;25.15154626;60.2046813
178;Sähkömies;24.829985;60.188499
179;Aurinkolahdenaukio;25.15011353;60.20113608
180;Kalkkihiekantie;25.14304029;60.2021242
181;Jämeräntaival;24.835033;60.188118
182;Ulappasilta;25.14104587;60.20661604
183;Maarinranta;24.81075284;60.18734696
184;Mosaiikkitori;25.14385259;60.20797536
185;Tietäjä;24.807083;60.189143
186;Metsänneidonpolku;24.806152;60.186731
187;Meri-Rastilan tori;25.11942241;60.20415423
188;Rastila (M);25.12014086;60.20553547
189;Kalevalantie;24.804022;60.184765
190;Louhentori;24.796959;60.18715
191;Punakiventie;25.14675006;60.21400149
192;Pohjankulma;24.794014;60.18288
193;Vuosaaren puistopolku;25.14109536;60.2213209
194;Purjetie;25.13382869;60.21964832
195;Koivu-Mankkaa;24.78576;60.182976
196;Koukkusaarentie;25.13423251;60.21398072
197;Länsiterminaali;24.91586267;60.15039563
198;Mankkaanlaaksontie;24.780478;60.188706
199;Länsisatamankuja;24.91220044;60.15693191
200;Merihaka;24.95845222;60.17806593
201;Mankkaanaukio;24.769021;60.194599
202;Opastinsilta;24.93782637;60.19923543
203;A.I. Virtasen aukio;24.962152;60.205577
204;Ilmalan asema;24.92221989;60.20662644
205;Ruskeasuon varikko;24.89866789;60.20767996
206;Vanha Viertotie;24.88166025;60.2110753
207;Valimotie;24.87646479;60.21592224
208;Takomotie;24.87104647;60.21789963
209;Tapiolan urheilupuisto;24.784654;60.177749
210;Pajamäki;24.85566795;60.21880736
211;Urheilupuisto (M);24.779428;60.17465
212;Haagan tori;24.89955114;60.21227524
213;Tunnelitie;24.8995437;60.21661654
214;Tontunmäentie;24.769667;60.176107
215;Huopalahden asema;24.89505934;60.21808856
216;Valimon asema;24.87587091;60.22229428
217;Olarinluoma;24.760606;60.180848
218;Pitäjänmäen asema;24.85863812;60.22431429
219;Jännetie;24.85354096;60.22676996
220;Niittymaa;24.775913;60.171127
221;Marttila;24.87322737;60.22714323
222;Pohjois-Haagan asema;24.88312885;60.2301515
223;Näyttelijäntie;24.88743455;60.23285214
224;Niittykumpu (M);24.763184;60.170758
225;Ida Aalbergin tie;24.895199;60.229488
226;Haukilahdensolmu;24.772708;60.166481
227;Teljäntie;24.86873948;60.20969563
228;Thalianaukio;24.89479265;60.22534052
229;Munkkivuoren ostoskeskus;24.8798291;60.2059946
230;Huovitie;24.90328665;60.22197554
231;Haukilahdenaukio;24.775882;60.162396
232;Hämeenlinnanväylä;24.902832;60.227451
233;Vihdintie;24.8895209;60.208925
234;Vesakkotie;24.92656476;60.22794237
235;Hauenkallio;24.767831;60.162477
236;Kriikunakuja;24.8916817;60.2056785
237;Maunula;24.932503;60.23038289
238;Tilkantori;24.8934761;60.2028392
239;Lepolantie;24.92859501;60.23910894
240;Haukilahdenranta;24.769864;60.158048
241;Korppaanmäentie;24.8989297;60.2034735
242;Kylävoudintie;24.95256124;60.22440378
243;Tenholantie;24.9054609;60.2024393
244;Kustaankartano;24.94876516;60.23070287
245;Radiokatu;24.918419;60.20499
246;Käskynhaltijantie;24.95793412;60.23323195
247;Hertanmäenkatu;24.922458;60.202539
248;Mellstenintie;24.773993;60.154941
249;Mäkitorpantie;24.962531;60.230141
250;Toppelundintie;24.782477;60.1591405
251;Maistraatintori;24.924873;60.199151
252;Siltavoudintie;24.96539508;60.23370686
253;Esterinportti;24.9267808;60.1975724
254;Oulunkylän asema;24.96671856;60.22910016
255;Westendintie;24.791754;60.158194
256;Rautatieläisenkatu;24.9332721;60.2014382
257;Kirkkoherrantie;24.97281938;60.22493037
258;Toppelundinportti;24.7848628;60.1624471
259;Pasilan asema;24.93279908;60.19821087
260;Otto Brandtin tie;24.97813892;60.23178407
261;Linnakepolku;24.790132;60.1637
262;Ratapihantie;24.936256;60.196431
263;Katariina Saksilaisen katu;24.98442008;60.21721481
264;Venttiilikuja;24.941578;60.1942095
265;Hernepellontie;24.98860012;60.22421214
266;Linnanmäki;24.9401593;60.1911411
267;Aulangontie;24.99853382;60.23030193
268;Brahen puistikko;24.9481024;60.1896706
269;Pihlajamäki;25.01031391;60.23457857
270;Fleminginkatu;24.9521601;60.1895417
271;Viikin tiedepuisto;25.01006206;60.22752067
272;Gebhardinaukio;24.956262;60.190857
273;Viikin normaalikoulu;25.02761893;60.2274953
274;Mäkelänkatu;24.9635596;60.1896352
275;Agronominkatu;25.0328574;60.23405301
276;Vilhonvuorenkatu;24.9678718;60.1864633
277;Von Daehnin katu;25.04356807;60.23033718
278;Kaivopuisto;24.95029289;60.15544479
279;Lintulahdenkatu;24.9621936;60.1837182
280;Mustikkamaa;24.99203711;60.18186178
281;Laivasillankatu;24.95634747;60.16095909
282;Näkinsilta;24.9554618;60.179765
283;Relanderinaukio;25.00601922;60.1858875
284;Kapteeninpuistikko;24.9449274;60.1581892
285;Isoisänsilta;24.98179261;60.18265182
286;Kulosaari (M);25.00656653;60.18895009
287;Viiskulma;24.9417758;60.1609859
288;Arielinkatu;24.979739;60.185922
289;Tupasaarentie;25.01539165;60.18799818
290;Sepänkatu;24.9362853;60.1579483
291;Kalasatama (M);24.9770684;60.18755649
292;Haakoninlahdenkatu;25.02086096;60.16886856
293;Hietalahdentori;24.9297099;60.1622251
294;Teurastamo;24.9711926;60.1896994
295;Gunillantie;25.03296885;60.17198027
296;Designmuseo;24.94596;60.1631032
297;Päijänteentie;24.9642238;60.1920576
298;Isosaarentie;25.04490071;60.17549032
299;Vanha kirkkopuisto;24.9391499;60.1652883
300;Pernajantie;24.9579931;60.1942342
301;Erottajan aukio;24.94426107;60.16689008
302;Reiherintie;25.04749626;60.1677305
303;Teollisuuskatu;24.9487524;60.193486
304;Laajasalon ostoskeskus;25.0518837;60.18009214
305;Kasarmitori;24.94947288;60.16501718
306;Elimäenkatu;24.9476186;60.1962627
307;Humalniementie;25.05303786;60.18374385
308;Unioninkatu;24.9510227;60.1674573
309;Hollolantie;24.9545339;60.1958848
310;Tammisalon aukio;25.06118417;60.19164688
311;Kanavaranta;24.9583814;60.168384
312;Paavalinpuisto;24.9614385;60.1974886
313;Agnetankuja;25.03641229;60.18723412
314;Merisotilaantori;24.9755341;60.1678703
315;Haukilahdenkatu;24.9676708;60.1985314
316;Laivalahden puistotie;25.03138531;60.1879581
317;Senaatintori;24.9526414;60.1691278
318;Velodrominrinne;24.9440506;60.2010614
319;Herttoniemenranta;25.02606571;60.19021015
320;Ritarikatu;24.95555819;60.17110665
321;Sofianlehdonkatu;24.9513636;60.2032721
322;Margareetankuja;25.03707004;60.19100958
323;Liisanpuistikko;24.9613747;60.1741822
324;Arabian kauppakeskus;24.9666128;60.2027912
325;Abraham Wetterin tie;25.04258027;60.1927079
326;Varsapuistikko;24.94951927;60.1731029
327;Arabiankatu;24.97707901;60.20649157
328;Petter Wetterin tie;25.03111194;60.19313763
329;Porthania;24.9481464;60.16986223
330;Muotoilijankatu;24.979682;60.209796
331;Rautatientori / itä;24.9425268;60.1708236
332;Herttoniemi (M);25.02887208;60.19461462
333;Verkatehtaanpuisto;24.9797283;60.2137007
334;Asentajanpuisto;25.04259247;60.19912714
335;Kaisaniemenpuisto;24.943301;60.17319894
336;Intiankatu;24.9676383;60.2078582
337;Siilitie (M);25.04516116;60.20596245
338;Töölönlahdenkatu;24.93930791;60.17219068
339;Koskelantie;24.9465139;60.208749
340;Herttoniemen kirkko;25.03211213;60.19844295
341;Rautatientori / länsi;24.9397601;60.1706061
342;Kuikkarinne;24.86930605;60.1570856
343;Eränkävijäntori;25.03359741;60.20456166
344;Kiasma;24.9374279;60.1712579
345;Käpyläntie;24.9588108;60.2139043
346;Siilitie 9;25.03748222;60.20947671
347;Mannerheimintie;24.9394195;60.1690724
348;Pohjolankatu;24.9437964;60.213421
349;Siilitie 13;25.04379378;60.21506337
350;Narinkka;24.93460698;60.17004204
351;Pohjolanaukio;24.9544112;60.2172043
352;Roihupelto;25.055528;60.209287
353;Kamppi (M);24.9305373;60.1686095
354;Käpylän asema;24.94792903;60.22080571
355;Porolahden koulu;25.05358094;60.19553972
356;Eerikinkatu;24.9357851;60.1673332
357;Juhana Herttuan tie;24.9664619;60.2184427
358;Peukaloisentie;25.05854933;60.1987055
359;Lastenlehto;24.927021;60.1658121
360;Toinen linja;24.9441949;60.183164
361;Baana;24.9225658;60.164088
362;Tulisuontie;25.0600466;60.20207299
363;Töölönlahden puisto;24.935186;60.174646
364;Prinsessantie;25.06009233;60.20634023
365;Itämerentori;24.9145165;60.1635309
366;Marjaniementie;25.07606936;60.20432489
367;Marian sairaala;24.9220763;60.1680998
368;Eläinmuseo;24.93189751;60.17135891
369;Voikukantie;25.08678211;60.2089976
370;Kauppakorkeakoulu;24.924961;60.1711591
371;Itäkeskus (M);25.07596802;60.20960067
372;Kansallismuseo;24.9329875;60.1739641
373;Puotinharju;25.08232209;60.21249417
374;Cygnaeuksenkatu;24.92822758;60.17406372
375;Marjaniemi;25.08629616;60.20360956
376;Apollonkatu;24.9223942;60.1760798
377;Puotilantie;25.10042606;60.20905963
378;Töölönkatu;24.9283272;60.1775598
379;Puotinkylän kartano;25.10619874;60.21250991
380;Töölöntori;24.9249114;60.1791231
381;Ooppera;24.926687;60.1825529
382;Puotilan ostoskeskus;25.09555951;60.21270057
383;Puotila (M);25.09112453;60.21482071
384;Hakaniemi (M);24.95218125;60.17810632
385;Eteläesplanadi;24.94746582;60.16723083
386;Karhulantie;25.10232485;60.21860148
387;Ympyrätalo;24.9494;60.180863
388;Leppäsuonaukio;24.9265905;60.16957343
389;Alakiventie;25.07747024;60.21985097
390;Haapaniemenkatu;24.95519528;60.18316012
391;Lehtisaarentie;24.85043967;60.18181322
392;Myllypuro (M);25.07539579;60.22408647
393;Karhupuisto;24.9526763;60.1842833
394;Orpaanporras;25.06542184;60.2235652
395;Sörnäinen (M);24.96098;60.187736
396;Mamsellimyllynkatu;25.05910388;60.21825197
397;Brahen kenttä;24.9509168;60.1868618
398;Diakoniapuisto;24.943358;60.186979
399;Vanha Kauppahalli;24.953535;60.165343
400;Mastokatu;24.9674861;60.1647545
401;Annankatu;24.94177084;60.16345894
402;Vallilan varikko;24.962832;60.195225
403;Itäkeskus Metrovarikko;25.065816;60.211446
404;Melkonkuja;24.8861094;60.1498127
405;Koskelan varikko;24.969956;60.212701
406;Itälahdenkatu;24.8812502;60.15066
407;Korkeasaari;24.98252693;60.17990614
408;Heikkilänaukio;24.8793159;60.1540763
409;Postipuisto;24.933737;60.220301
410;Heikkiläntie;24.8850653;60.156817
411;Gyldenintie;24.8766658;60.1583842
412;Puistokaari;24.86202;60.157875
413;Luoteisväylä;24.8601992;60.1654485
414;Lauttasaaren ostoskeskus;24.8815441;60.1603306
415;Lauttasaarensilta;24.8899154;60.16118583
416;Salmisaarenranta;24.9009608;60.16478138
417;Kaapelitehdas;24.90655727;60.16181337
418;Länsisatamankatu;24.909692;60.1589276
419;Välimerenkatu;24.916241;60.159296
420;Jätkäsaarenlaituri;24.9214896;60.1619311
421;Tyynenmerenkatu;24.920661;60.156838
422;Hernesaarenranta;24.93125407;60.15352968
423;Ehrenströmintie;24.9591271;60.155309
424;Perämiehenkatu;24.93406569;60.16008759
425;Albertinkatu;24.9368179;60.1618359
426;Kalevankatu;24.931422;60.16568
427;Sammonpuistikko;24.9224112;60.1731473
428;Hietaniemenkatu;24.90767042;60.17333316
429;Eteläinen Hesperiankatu;24.91566275;60.17558787
430;Kesäkatu;24.9132504;60.1792967
431;Rajasaarentie;24.911127;60.183137
432;Korjaamo;24.9198371;60.1838677
433;Olympiastadion;24.9249741;60.1845055
434;Nordenskiöldinaukio;24.91724984;60.18523633
435;Messeniuksenkatu;24.9180102;60.1878352
436;Uimastadion;24.9292286;60.1892172
437;Jäähalli;24.9205978;60.1894025
438;Stenbäckinkatu;24.9123717;60.1883091
439;Töölöntulli;24.91282714;60.19095693
440;Meilahden sairaala;24.9083351;60.1902195
441;Paciuksenkatu;24.901008;60.191524
442;Jalavatie;24.905889;60.1934696
443;Kuusitie;24.9018997;60.1952452
444;Kustaankatu;24.95597593;60.18827522
445;Kiskontie;24.9012997;60.1989402
446;Tilkanvierto;24.899261;60.1975329
447;Paciuksenkaari;24.8911179;60.1944475
448;Seurasaari;24.8847362;60.188399
449;Saunalahdentie;24.87922144;60.19263058
450;Torpanranta;24.8713963;60.1948358
451;Laajalahden aukio;24.87622172;60.19793091
452;Munkkiniemen aukio;24.8840917;60.1967196
453;Huopalahdentie;24.8836209;60.1996653
454;Ulvilantie;24.8708833;60.2038803
455;Muusantori;24.8559544;60.2071193
456;Pähkinärinne library;24.805655;60.2565987
457;Koivuvaarankuja;24.8145545;60.2546414
458;Nuijatie;24.8300791;60.259273
459;Orionintie;24.771826;60.180118
460;Outotec;24.742219;60.163412
461;Derby Business Park;24.835356;60.209017
462;Ainontie;24.8038507;60.2710845
463;Lammasrinne;24.8065774;60.2618736
